Vietnamese,Bahnar
Kông văn sô̆ puôn hriêng tơpơh jĭt pêng/UBND-TC năr 'bal jĭt khĕi 'bal xơnăm 'bal hbâu tơngham dĭ Uy 'ban nhân yân tinh lơm drong ap yŭng xưm soat xet đĭnh mưk tiêu hao nhiên liê̆u gre ô tô kon.,Công văn số 473/UBND-TC ngày 20/02/2008 của UBND tỉnh về việc áp dụng và soát xét định mức tiêu hao nhiên liệu xe ô tô con.
Krao adrǐng choh jang păng pơjing rim dơ nǒ 'lưng sư̌ pơm đô xa Nông san uiôl uiêl,Kết nối sản xuất và hình thành các điểm cung ứng sản phẩm Nông sản an toàn
"Krao akom naê ma jö vei oeng phat huy giaê tri vaên hoa, tôdrong alöng lieâm ñông naê ma; trong glong ren luyeân, tôme rong jaêng pran, jö vei moâi tröông; trong glong tôjung pôm xa hoâi hok tôp; trong glong tuk bôngot dônuh, ñeân ôn ñap nghia, tôgum bôngai hrat tônap; trong glong naê ma jö vei an ninh the ñak, phong dôt bôngai pôm glaêi oeng teâ nan xa hoâi… chep aên lö thu yok tôpaê","Vận động nhân dân giữ gìn và phát huy giá trị văn hóa, truyền thống tốt đẹp của dân tộc; phong trào rèn luyện, chăm lo sức khỏe, bảo vệ môi trường; phong trào xây dựng xã hội học tập; phong trào xóa đói giảm nghèo, đền ơn đáp nghĩa, giúp đỡ người gặp hoạn nạn, khó khăn; phong trào quần chúng bảo vệ an ninh tổ quốc, phòng chống tội phạm và các tệ nạn xã hội… đem lại nhiều kết quả thiết thực"
"Krao akom naê ma tôgum kô ôbôu m2 the, kô jit trieâu ñoâng, ôbôu naêr koâng pôm, adring pôm tôhnglaih rim koâng trinh pôgal, koh tuk long lö sônaêm sö pôm cô sô ha taâng oeng rim thieât cheâ vaên hoa","Vận động nông dân hiến hàng nghìn mét vuông dất, hàng chục triệu đồng, hàng ngàn ngày công, tham gia tháo dỡ các công trình tường rào, chặt bỏ cây lưu niên để xây dựng cơ sở hạ tang và các thiết chế văn hóa"
"Krao akoêm bôngai kiêa rong ‘boh oeêng pôtho khan tôtam aên kô kuan thuê y, khul pôgôl kô sô lôêm jiêt jiê","Vận động người chăn nuôi phát hiện và báo cáo kịp thời cho cơ quan thú y, chính quyền cơ sở về dịch bệnh;"
"Krao akoêm bôngai kiêa rong ‘boh oeêng pôtho khan tôtam aên thuê y, khul pôgôl kô sô lôêm jiêt jiê","Vận động người chăn nuôi phát hiện và báo cáo kịp thời cho thú y, chính quyền cơ sở về dịch bệnh;"
Krao akoêm pôjing anao moâ hinh,Vận động thành lập mô hình
"Krao akoêm, ngoê hnheêi oeêng chaê yuoâ thu ‘yoêk nguoân löêk söê pôm rim tôdrong pôjing kôjaêp kinh teâÊ ñak tôsiê","Huy động, quản lý và sử dụng hiệu quả nguồn lực để thực hiện các nhiệm vụ phát triển bền vững kinh tế biển"
"Krao akoêm, thu huêt tôdrong adriêng pôm ñôêng kôtuêm bôngai ñei naê ma gôneh gônôêm tômöt tôdrong pôtho khan, giaêo yuêk","Vận động, thu hút sự tham gia của nhóm người có uy tín vào hoạt động truyền thông, giáo dục."
"Krao apơi Uy ban măt trân Tô quô̆k Viet Nam păng rim kơ kuang đoan the lâ̆m tinh ling lang tơguôt mă ăl ‘drĭng kơ nganh y tê̆ păng rim kơ kuang nai lâ̆m tơdrong tơroi pơang, pơtâ̆p pơtho nă ma kon pơlĕi hlôi băt tơdrong jư vĕi akâ̆u ăn khul mĭ hơ’yoh oh nga.","Đề nghị Ủy ban mặt trận Tổ quốc Việt Nam tỉnh và các hội, đoàn thể thành viên tăng cường phối hợp với ngành y tế và các cơ quan liên quan trong việc tổ chức tuyên truyền cho nhân dân về chăm sóc sức khỏe bà mẹ và trẻ em., Trong quá trình thực hiện, nếu có khó khăn, vướng mắc, các đơn vị, địa phương báo cáo về Sở Y tế để được hướng dẫn kịp thời theo chức năng nhiệm vụ, thẩm quyền được giao."
Krao kon tôring truh ngoê rim tôdrong lôêm Lieân hoan,Huy động nhân dân đến xem các chương trình trong Liên hoan.
"Krao löêk löông adriêng nganh y teâ pônhroh rim tôdrong phong dôt jiêt jiê gruên leêch pham ôêi thu yoêk, rim hoâi ñoan theâ, rim xa, thi traân oeêng rim tram y teâ pôm hôgei rim tôdrong phong dôt jiêt gruên leêch pham lôêm cham pôlei ‘boi pôgôl ñôêng kôêp kôpöng, adriêng tôdrong tôpaê ngoê hnhei naêm truh pôm biê ôêi jiêt gruên leêch pham lôêm tôring huyeân","Huy động lực lượng phối hợp với ngành y tế triển khai các biện pháp phòng chống dịch bệnh sốt xuất huyết có hiệu quả; các hội đoàn thể, các xã, thị trấn và các trạm y tế thực hiện nghiêm các biện pháp phòng, chống dịch sốt xuất huyết tại địa phương theo chỉ đạo của cấp trên, với mục tiêu quyết tâm kiềm chế, kiểm soát, tiến tới dập tắt dịch bệnh sốt xuất huyết trên địa bàn huyện"
"Krao löêk löông, phöông tieân, trang thieât ‘bi ‘boi tôdrong söê köêu nan thueân vieân oeêng phöông tieân tôjröêm glaêi lôêm apung kang ñak tôsiê","Huy động lực lượng, phương tiện, trang thiết bị theo phương án để cứu nạn thuyền viên và phương tiện bị nạn trong vùng cảng biển."
Krao lư lang rim tâng lơp kon tơring adring pơm,Thu hút đông đảo các tầng lớp nhân dân tham gia
"Krao nguoân löêk ñôêng ñiê ñaêng heâ thoâÊng chiênh tri, ñiê ñaêng xa hoâi aên tôdrong ngoê hnheêi böêt ñak oeêng chuaân ‘bi goâ ñeêch tôguêm böêt ñak, dôt ñak tih, ami but sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ‘boi tôdrong “puoân minh dônoê”","Huy động nguồn lực cả hệ thống chính trị, toàn xã hội cho công tác quản lý đê điều và chuẩn bị sẵn sàng hộ đê, chống lũ, bão năm 2020 theo phương châm “4 tại chỗ”"
"Krao nguoân löêk ñôêng ñiê ñaêng heâ thoâÊng chiênh triê, ñiê ñaêng xa hoâi aên tôdrong ngoê hnheêi böêt ñak söê chu ñoâng xö lyê rim tôdrong ôêi leêch ñoât xuaât adrol, lôêm jan ami but oeêng tu ‘boâ, poâk xuoân rim tueâÊn ñeâ pôgloh nai söê rim tôdrong pôm kôjaêp, poâk xuoân ñoâng ‘boâ heâ thoâÊng ñeâ, böêt ñak ñôêng tinh, pôgoêp tôdrong pôgloh lôêm tôdrong phong dôt thieân tai, jö vei ôkôêu, kua tômaêm aên kon tôring","Huy động nguồn lực cả hệ thống chính trị, toàn xã hội cho công tác quản lý đê điều để chủ động xử lý những sự cố phát sinh đột xuất trước, trong mùa lũ, bão và tu bổ, nâng cấp các tuyến đê thiết yếu khác nhằm từng bước kiên cố, nâng cấp đồng bộ hệ thống đê, kè của tỉnh, góp phần quan trọng trong việc phòng chống thiên tai, bảo vệ tính mạng, tài sản của nhân dân"
"Krao rim cuôk tơrjoh sang tao khoa hok ky thuât, sang tao văn hok nghê thuât","Phát động các cuộc thi sáng tạo khoa học kỹ thuật, sáng tác văn học nghệ thuật"
Krao rim ‘bok (‘yaê) ôêi maêt ñôêng roêng ôêu tham gia pôm Uy vieân Khul pôgôl,Mời các ông (bà) có tên sau tham gia làm Ủy viên Ban Chỉ đạo
"Krao rim ‘boêk, ‘yaê ñôêng roêng ôêu pôm Uy vieân Hoâi ñoâng:","Mời các ông, bà sau đây làm Ủy viên Hội đồng:"
"Krao tôdrong adriêng pôm ñôêng rim ‘ban, nganh, hoâi ñoan theâ… lôêm tôdrong krao akoêm naê ma pônhroh rim tôdrong phong dôt jiêt jiê Covid – 19","Huy động sự tham gia của các ban, ngành, hội, đoàn thể… trong việc vận động nhân dân triển khai các biện pháp phòng, chống dịch bệnh COVID-19"
"Krao tôdrong tôguêm lôêm nguoân löêk ñôêng rim toâ chöêk, kôdih ôkôêu söê pônhroh Ñeâ an ‘boi tôdrong","Huy động sự hỗ trợ về nguồn lực từ các tổ chức, cá nhân để triển khai Đề án theo quy định."
"Krao tăt něi 'Ban điêu hanh Dư̌ án, lơm ěi ơĭ khul yă, 'bok ơĭ măt đưng râng 'nâu",Gọi tắt là Ban điều hành Dự án gồm các ông. bà có tên sau
"Krao ñôêng rim toâ chöêk, kôdih ôkôêu khai thac tôdrong pjo tôguêm du lich","Huy động từ các tổ chức, cá nhân khai thác hoạt động võ thuật phục vụ du lịch"
"Krao ‘Boêk Löông Ñinh Tieân, Phoê ‘Biê thö Thöông tröêk Tinh Ñoan","Mời Ông Lương Đình Tiên, Phó Bí thư Thường trực Tỉnh đoàn;"
"Kră pơgơr UBND tinh krao h’măng rim sơ, ban, nganh, UBND rim hiuen, thi xa, thanh phô̆ tơgŭm pơm atâ̆p đĕi dôm tơdrong khan kơpal ‘noh hei.","Chủ tịch UBND tỉnh yêu cầu các sở, ban, ngành, UBND các huyện, thị xã, thành phố nghiêm túc tổ chức triển khai thực hiện Chỉ thị này."
Kră pơgơ̆r UBND tinh bâ̆n hmăng:,Chủ tịch UBND tỉnh yêu cầu
Kră kơ xĕ,Ông già tính tình vui vẽ
"KsoÊâ pôtôêp pjo coâ trueân bieâu dieân khoang pôñaêm jiêt vo sö, huaâÊn lueân vieân, ksoÊâ araê deêch pôtôêp ñoâi khang","Số dạy võ cổ truyền biểu diễn khoảng 50 võ sư, huấn luyện viên, số còn lại chuyên dạy võ đối kháng."
KsoÊâ ñao anu ñei chô truh xa Vinh Sôn söê pôtaêm,Số đào này sẽ được vận chuyển lên xã Vĩnh Sơn để trồng
"Ksoâ unh hnam dônuh tôjul qua minh sônaêm phai tôroi truh tôdrong pôgloh ñông chi boâ rim thoân, pôlei jôh phat huy tôdrong pôm aên ñe hyoh pôm boi ñông rim ñang vieân lôm tôdrong  pôgôl naê ma pôm rim tôdrong ñông Ñang, chinh sach phap luaât ñông kôpal, pôgloh la rim Nghi quyeât ñông Ñang boâ huyeân, Ñang boâ xa lôm tôdrong chuyeân dich cô caâu kinh teâ boi tôdrong choh jang hang hoa, poâk xuoân tôdrong yaêl arih aên naê ma.","Số hộ nghèo giảm qua hàng năm phải kể đến vai trò rất quan trọng của chi bộ các thôn, làng đã phát huy vai trò tiên phong gương mẫu của các đảng viên trong việc lãnh đạo nhân dân thực hiện đường lối, chủ trương của Đảng, chính sách pháp luật của Nhà nước, nhất là các Nghị quyết của Đảng bộ huyện, Đảng bộ xã trong việc chuyển dịch cơ cấu kinh tế theo hướng sản xuất hàng hóa, nâng cao đời sống nhân dân."
"KsoâÊ löông hoêk sinh, sinh vieân atung oei kyê tuêk xa: Drôêu ôbôêu peâng hrieâng peâng jiêt pôñaêm bôngai","Số lượng học sinh, sinh viên đang ở ký túc xá: 6.335 người."
"KsoâÊ löông kloêk trang ‘biê: Pôñaêm jiêt drôêu toê (sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm: drôêu toê, ñôêng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu – ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt minh sônaêm trang ‘biê minh jiêt toê)","Số lượng bình trang bị: 56 cái (năm 2015: 6 cái, từ năm 2016 - 2020 mỗi năm trang bị 10 cái)."
KsoâÊ löông kloêk trang ‘biê: ‘Baêl jiêt tôxiênh toê (sônaêm ‘baêl ôbôêu khoâng hrieâng le pôñaêm: puoân toê; ñôêng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu – ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt minh sônaêm trang ‘biê pôñaêm toê),Số lượng bình trang bị: 29 cái (năm 2005: 4 cái; từ năm 2016 - 2020 mỗi năm trang bị 5 cái).
KsoâÊ löông oeng dônoê waê tueân: Chi tieâÊt ‘boi phu luêk pôteêp adriêng glong pônhroh,Số lượng và vị trí cần tuyển: Chi tiết theo Phụ lục đính kèm Kế hoạch.
"KsoâÊ löông, kô kôêu ‘Ban Tham vaâÊn: Minh jiêt minh bôngai","Số lượng, cơ cấu Ban Tham vấn: 11 người."
KsoâÊ löông: Minh jiêt pôñaêm oh,Số lượng: 15 em.
"KsoâÊ uênh hnam dônuh oei rim xa apung naê ma kon koâng tôjul lö ñôêng 4 – 5% minh sônaêm, truh ahreêi biê araê uênh hnam bôngot, cô ban tuêk ñei hnam hyaêh","Số hộ nghèo ở các xã vùng đồng bào DTTS giảm đáng kể từ 4 – 5%/năm, đến nay không còn hộ đói, cơ bản xóa được nhà tạm bợ"
"Ksô naêr 05.5, UBND huyeân Vinh Thanh pôlok hoâi nghi toâng keât tôdrong tuyeân chon oeng krao coâng daân nhaâp ngu oeng pôm nghia vu adring pôm coâng an nhaân daân sônaêm 2020","Chiều ngày 5.5, UBND huyện Vĩnh Thạnh tổ chức Hội nghị tổng kết công tác tuyển chọn và gọi công dân nhập ngũ và thực hiện nghĩa vụ tham gia Công an nhân dân năm 2020"
"Ksô naêr 11.3, Khul toâ chök Huyeân uy Vinh Thanh pôlok Hoâi nghi toâng keât tôdrong tôjung pôm Ñang sônaêm 2019, pônhroh tôdrong pôm sônaêm 2020","Chiều ngày 11.3, Ban Tổ chức Huyện ủy Vĩnh Thạnh tổ chức hội nghị tổng kết công tác tổ chức xây dựng Đảng năm 2019, triển khai phương hướng, nhiệm vụ năm 2020"
"Ksô naêr 15.4, ñ/c Hoâ Xuaân Anh, tinh uy vieân, Bi thö Huyeân uy oeng ñ/c Ñinh Drin, Pho bi thö thöông trök Huyeân uûy jôh truh tômang, aên qua oeng bône rim lök löông dô no Choât ngo hnhei phong dôt jit Covid-19 lieân nganh dô no Tram Go Lui","Chiều ngày 15.4, đồng chí Hồ Xuân Ánh, Tỉnh ủy viên, Bí thư Huyện ủy và đồng chí Đinh Drin, Phó Bí thư Thường trực Huyện ủy đã đến thăm, tặng quà và động viên các lực lượng tại Chốt kiểm soát phòng chống dịch COVID-19 liên ngành tại Gò Lủi"
"Ksô naêr 16/01, Huyeân uy Vinh Thanh jôh pôlok maêng aên Huy hieâu Ñang aên 20 ñang vieân oei lôm kôbraê Ñang boâ huyeân","Chiều ngày 16.1, Huyện ủy Vĩnh Thạnh đã tổ chức buổi Lễ trao tặng Huy hiệu Ðảng cho 20 đảng viên thuộc Ðảng bộ huyện"
"Ksô naêr 30/9, UBND huyeân Vinh Thanh pôlok Hoâi nghi toâng keât tôdrong ñieâu tra daân soâ oeng hnam oei sônaêm 2019.","Chiều ngày 30.9, UBND huyện Vĩnh Thạnh tổ chức Hội nghị tổng kết công tác Tổng điều tra dân số và nhà ở năm 2019."
"Ksô naêr 5.5, Phong noâng nghieâp oeng pôjing cham pôlei huyeân pôlok hoâi thao moâ hinh rong ka chep gion lôm klong thuy lôi Ñinh Binh. Truh dö ôi ñ/c Bui Taân Thanh, ñ/c Huynh Ñöc Bao – Pho chu tich UBND huyeân","Chiều ngày 5.5, Phòng Nông nghiệp và PTNT huyện tổ chức hội thảo mô hình nuôi cá chép giòn trên hồ thủy lợi Định Bình. Đến dự có ông Bùi Tấn Thành, ông Huỳnh Đức Bảo - Phó Chủ tịch UBND huyện"
"Ksô ‘naêr 28/8, ñ/c Ñinh Ñrin, Phoê ‘biê thö thöông tröc Huyeân uy jôh truh tômang oeêng aên 02 suaât kua, minh suaât 01 trieâu ñoâng aên 02 uênh hnam naê ma ôêi koâng adriêng teh ñak pôgloh ñôêng xa Vinh Sôn oeêng Vinh Kim.","Chiều ngày 28.8, đồng chí Đinh Đrin, Phó Bí thư Thường trực Huyện ủy đã đến thăm và tặng 2 suất quà, mỗi suất 1 triệu đồng cho 2 gia đình chính sách tiêu biểu của của xã Vĩnh Sơn và xã Vĩnh Kim."
"Ksô ‘naêr 29/10, UBND huyeân Vinh Thanh pôloêk toâng keât choh jang noâng nghieâp sônaêm 2019 oeng pônhroh glong pônhroh choh jang vuê Ñoâng Xuaân sônaêm 2019–2020","Chiều ngày 29.10, UBND huyện Vĩnh Thạnh tổ chức tổng kết sản xuất nông nghiệp năm 2019 và triển khai kế hoạch sản xuất vụ Đông Xuân năm 2019-2020"
"Ksôê ‘naêr 25/9, Huyeân uy Vinh Thanh pôloêk Hoâi nghi toâng keât 10 sônaêm pôm höông daân ksoÊâ 35 ñôêng Khul toâ chöc Trung öông lôêm toâ chöc oeêng tôdrong pôm ñôêng chi boâ quaân sö xa, phöông, thi traân","Chiều ngày 25.9, Huyện ủy Vĩnh Thạnh tổ chức Hội nghị tổng kết 10 năm thực hiện Hướng dẫn số 35 ngày 15.10.2009 của Ban Tổ chức Trung ương về tổ chức và hoạt động của chi bộ quân sự xã, phường, thị trấn"
"Ksôê ‘naêr 30/10, Cty xaêng jôêu Binh Ñinh adriêng Vieân kieâm sat nhaân daân huyeân Vinh Thanh pôloêk nghieâm thu oeêng ‘ban jao hnam tinh nghia aên uênh hnam yaê Pham Thi Xuan, oei thoân Ñinh Tri, xa Vinh hao","Chiều ngày 30.10, Công ty xăng dầu Bình Định phối hợp Viện Kiểm sát nhân dân huyện Vĩnh Thạnh tổ chức nghiệm thu và bàn giao Nhà tình nghĩa cho hộ gia đình bà Phạm Thị Xuân, ở thôn Định Trị, xã Vĩnh Hảo"
